client_id,status,churned,segment,client_livedate,client_offdate,sem_livedate,sem_offdate,sem_status,sem_days_live,last_login,days_since_last_login,leads_30days,spend_30days
289717,LIVE,0,Insurance,1/13/2016,,1/14/2016,5/8/2016,Off,115,,,1,0
289914,OFF,1,Home System Installer,5/9/2016,6/9/2016,5/6/2016,6/9/2016,Off,34,4/25/2016,45,6,326.72
290033,OFF,1,General Contractor,1/21/2016,3/26/2016,1/21/2016,3/26/2016,Off,65,1/29/2016,57,9,190.94
290040,LIVE,0,Dentist,3/15/2016,,3/16/2016,,Live,164,,,25,801.55
290338,OFF,1,Painter,4/15/2016,7/21/2016,6/14/2016,7/21/2016,Off,37,,,2,191.1
290486,OFF,1,Photographer,5/26/2016,8/9/2016,5/26/2016,8/9/2016,Off,75,5/28/2016,73,1,0
290765,OFF,1,Home Remodeling,4/1/2016,6/25/2016,4/1/2016,6/25/2016,Off,85,5/5/2016,51,7,5.18
291251,LIVE,0,Painter,3/9/2016,3/7/2016,7/6/2016,,Live,52,2/8/2016,201,32,209.42
291308,LIVE,0,Plumber,2/8/2016,,2/9/2016,,Live,200,,,51,506.9
291440,LIVE,0,Lawyer,1/4/2016,,1/5/2016,,Live,235,,,2,18.83
291463,OFF,1,Lawyer,1/18/2016,8/19/2016,3/10/2016,5/2/2016,Off,53,7/3/2016,47,158,"1,526.90"
291600,LIVE,0,Therapist,2/26/2016,2/26/2016,2/29/2016,2/26/2016,Live,180,,,61,240.12
292083,OFF,1,Car Rental,2/1/2016,3/22/2016,1/19/2016,3/17/2016,Off,58,2/26/2016,25,15,169.78
292198,LIVE,0,Accountant,3/11/2016,2/28/2016,3/11/2016,8/11/2016,Off,153,2/27/2016,182,14,66.18
292306,OFF,1,Cleaning Service,3/28/2016,7/23/2016,6/2/2016,7/23/2016,Off,51,6/28/2016,25,17,28.29
292487,OFF,1,Insurance,1/5/2016,5/6/2016,1/6/2016,4/5/2016,Off,90,4/4/2016,32,20,711.45
292499,OFF,1,General Contractor,1/5/2016,6/18/2016,1/6/2016,6/18/2016,Off,164,5/19/2016,30,11,103.56
292503,LIVE,0,Dentist,1/22/2016,,6/29/2016,,Live,59,,,35,970.89
292515,OFF,1,General Contractor,1/5/2016,8/5/2016,4/4/2016,5/28/2016,Off,54,7/26/2016,10,18,336.48
292518,LIVE,0,Damage Repair,1/5/2016,,1/6/2016,4/4/2016,Off,89,,,3,0
292527,LIVE,0,Lawyer,1/7/2016,,1/8/2016,7/26/2016,Off,200,,,17,0
292531,LIVE,0,Roofer,1/5/2016,,1/22/2016,,Live,218,,,43,168.09
292577,OFF,1,Cabinetry Contractor,1/5/2016,4/27/2016,1/6/2016,4/27/2016,Off,112,3/31/2016,27,9,102.95
292582,OFF,1,Accountant,1/5/2016,7/5/2016,1/13/2016,5/18/2016,Off,126,5/26/2016,40,65,210.23
292610,LIVE,0,Lawyer,2/23/2016,,2/24/2016,6/10/2016,Off,107,,,27,0
292617,OFF,1,Lawyer,1/5/2016,7/6/2016,1/6/2016,3/16/2016,Off,70,3/28/2016,100,29,688.39
292618,LIVE,0,Locksmith,1/5/2016,,1/13/2016,7/21/2016,Off,190,,,4,0
292638,OFF,1,Home Remodeling,1/5/2016,6/6/2016,1/6/2016,3/10/2016,Off,64,6/5/2016,1,4,699.84
292640,OFF,1,Lawyer,1/5/2016,4/4/2016,1/6/2016,4/4/2016,Off,89,3/16/2016,19,12,187.48
292650,OFF,1,Dance Studio,1/6/2016,8/6/2016,1/20/2016,3/31/2016,Off,71,1/27/2016,192,22,71.77
292652,OFF,1,Dance Studio,1/6/2016,8/6/2016,1/20/2016,2/26/2016,Off,37,2/24/2016,164,30,42.79
292666,OFF,1,Insurance,1/6/2016,4/27/2016,1/7/2016,4/27/2016,Off,111,3/27/2016,31,9,171.96
292672,OFF,1,Plumber,1/6/2016,6/4/2016,1/7/2016,6/4/2016,Off,149,5/3/2016,32,12,9.72
292681,OFF,1,HVAC Contractor,1/6/2016,4/1/2016,1/7/2016,4/1/2016,Off,85,3/30/2016,2,9,24.92
292689,OFF,1,Driving Schools,1/6/2016,5/20/2016,1/7/2016,5/20/2016,Off,134,1/13/2016,128,48,0
292704,LIVE,0,Plastic Surgeon,1/6/2016,,1/7/2016,,Live,233,,,23,"2,176.32"
292710,OFF,1,Home Remodeling,3/22/2016,6/22/2016,1/14/2016,3/9/2016,Off,55,6/16/2016,6,4,0.35
292711,LIVE,0,Insurance,1/6/2016,,1/7/2016,,Live,233,,,56,729.14
292738,LIVE,0,Asphalt and Pavement Contractor,7/25/2016,5/21/2016,1/8/2016,5/21/2016,Live,232,3/25/2016,155,15,375.82
292742,OFF,1,Lawyer,1/6/2016,5/7/2016,1/7/2016,5/7/2016,Off,121,3/6/2016,62,60,271.59
292750,OFF,1,Lawyer,1/6/2016,5/6/2016,1/7/2016,5/6/2016,Off,120,4/6/2016,30,36,927.21
292755,OFF,1,Solar Contractors,1/29/2016,6/5/2016,2/2/2016,6/5/2016,Off,124,5/29/2016,7,3,322.94
292773,OFF,1,Insurance,1/6/2016,7/29/2016,1/7/2016,7/29/2016,Off,204,1/25/2016,186,11,1.01
292787,OFF,1,Orthodontist,1/6/2016,8/13/2016,1/7/2016,8/13/2016,Off,219,8/1/2016,12,37,"1,082.70"
292797,OFF,1,Lawyer,1/6/2016,4/19/2016,1/12/2016,4/19/2016,Off,98,4/5/2016,14,17,567.84
292802,LIVE,0,Medical Spa,1/6/2016,,4/5/2016,5/6/2016,Off,31,,,126,0
292834,OFF,1,Caterer,1/7/2016,8/4/2016,4/15/2016,8/4/2016,Off,111,6/7/2016,58,2,0
292852,LIVE,0,Solar Contractors,1/27/2016,,1/28/2016,,Live,212,,,155,"1,762.21"
292853,LIVE,0,General Contractor,1/7/2016,,1/8/2016,,Live,232,,,32,849.08
292859,OFF,1,Mover,1/8/2016,3/20/2016,1/11/2016,3/20/2016,Off,69,1/25/2016,55,183,"6,394.65"
292860,LIVE,0,Arborist,1/7/2016,,1/8/2016,,Live,232,,,35,368.78
292862,LIVE,0,Insurance,1/7/2016,,1/8/2016,,Live,232,,,76,270.01
292877,LIVE,0,Insurance,1/7/2016,,1/8/2016,5/21/2016,Off,134,,,14,0
292884,LIVE,0,Lawyer,7/13/2016,5/20/2016,1/8/2016,5/20/2016,Off,133,5/4/2016,115,2,0
292895,OFF,1,Lawyer,1/7/2016,6/8/2016,1/8/2016,6/8/2016,Off,152,4/17/2016,52,33,583.98
292921,LIVE,0,Painter,1/7/2016,,5/27/2016,,Live,92,,,7,56.29
292926,OFF,1,Insurance,1/7/2016,4/7/2016,1/8/2016,4/7/2016,Off,90,3/17/2016,21,16,429.36
292934,OFF,1,Insurance,1/7/2016,8/25/2016,1/11/2016,8/25/2016,Off,227,3/31/2016,147,5,174.71
292940,LIVE,0,Computer Service,1/7/2016,,4/20/2016,,Live,129,,,111,0
292948,OFF,1,Lawyer,1/15/2016,5/7/2016,1/15/2016,5/7/2016,Off,113,5/4/2016,3,24,27.63
292954,LIVE,0,Lawyer,1/7/2016,,1/8/2016,,Live,232,,,81,167.2
292962,OFF,1,Damage Repair,1/7/2016,6/8/2016,1/8/2016,3/23/2016,Off,75,2/29/2016,100,6,267.08
292979,OFF,1,Concrete Contractor,1/7/2016,6/8/2016,1/8/2016,3/9/2016,Off,61,3/8/2016,92,26,706.06
292985,OFF,1,Insurance,1/7/2016,3/11/2016,1/11/2016,3/11/2016,Off,60,2/10/2016,30,1,0.71
293006,LIVE,0,Lawyer,1/7/2016,,1/8/2016,,Live,232,,,35,808.61
293007,LIVE,0,Spa,8/25/2016,8/25/2016,2/24/2016,8/15/2016,Paused,185,8/9/2016,18,164,165.09
293026,OFF,1,Solar Contractors,1/7/2016,3/31/2016,2/8/2016,3/31/2016,Off,52,3/11/2016,20,10,40.86
293031,LIVE,0,Electrician,1/7/2016,,4/4/2016,,Live,145,,,8,147.37
293058,LIVE,0,Lawyer,7/22/2016,6/22/2016,1/11/2016,6/22/2016,Paused,229,5/19/2016,100,56,"1,226.76"
293059,OFF,1,Insurance,1/8/2016,4/24/2016,1/11/2016,4/24/2016,Off,104,2/25/2016,59,36,172.44
293062,OFF,1,Lawyer,1/8/2016,8/9/2016,1/11/2016,5/9/2016,Off,119,1/26/2016,196,14,722.37
293065,OFF,1,Home Remodeling,1/8/2016,4/7/2016,1/11/2016,4/7/2016,Off,87,2/11/2016,56,7,192.24
293066,OFF,1,Landscaper,1/8/2016,8/9/2016,1/12/2016,5/11/2016,Off,120,6/18/2016,52,62,494.2
293067,OFF,1,Insurance,1/8/2016,7/13/2016,1/11/2016,7/13/2016,Off,184,5/17/2016,57,14,256.02
293068,OFF,1,Lawyer,1/8/2016,5/6/2016,1/11/2016,5/6/2016,Off,116,4/6/2016,30,37,28.39
293074,LIVE,0,Lawyer,1/8/2016,,1/11/2016,6/10/2016,Off,151,,,3,0
293082,LIVE,0,Lawyer,1/8/2016,,1/11/2016,,Live,229,,,38,330.99
293091,OFF,1,Solar Contractors,1/8/2016,5/8/2016,1/11/2016,5/8/2016,Off,118,4/22/2016,16,8,0
293116,OFF,1,Insurance,1/8/2016,5/27/2016,1/11/2016,5/27/2016,Off,137,5/19/2016,8,18,33.02
293141,OFF,1,Lawyer,1/8/2016,8/8/2016,1/11/2016,5/7/2016,Off,117,7/25/2016,14,26,83.63
293150,OFF,1,Lawyer,1/8/2016,7/13/2016,1/11/2016,6/14/2016,Off,155,2/16/2016,148,116,519.88
293153,LIVE,0,Pest Exterminator,1/8/2016,,3/22/2016,7/6/2016,Off,106,,,13,0
293164,LIVE,0,Dentist,1/8/2016,,2/17/2016,,Live,192,,,108,"1,756.22"
293175,LIVE,0,Lawyer,1/8/2016,,1/11/2016,,Live,229,,,14,54.34
293186,LIVE,0,HVAC Contractor,1/8/2016,,3/4/2016,,Live,176,,,50,253.69
293191,OFF,1,Insurance,1/8/2016,4/7/2016,1/11/2016,4/7/2016,Off,87,3/30/2016,8,16,285.32
293194,LIVE,0,General Contractor,1/8/2016,,1/11/2016,6/9/2016,Off,150,,,4,0
293201,OFF,1,Home Remodeling,1/8/2016,8/10/2016,4/19/2016,8/10/2016,Off,113,5/3/2016,99,29,157.32
293208,OFF,1,Lawyer,6/1/2016,8/14/2016,1/12/2016,8/14/2016,Off,215,8/5/2016,9,18,0
293228,LIVE,0,Accountant,1/11/2016,,1/26/2016,,Live,214,,,10,53.59
293232,LIVE,0,Security Service,1/29/2016,,2/11/2016,3/24/2016,Live,198,,,15,148.26
293243,OFF,1,Door Contractor,1/11/2016,7/15/2016,1/12/2016,5/15/2016,Off,124,7/12/2016,3,16,29.58
293259,OFF,1,Animal & Wildlife Control,1/11/2016,8/20/2016,3/17/2016,8/20/2016,Off,156,8/17/2016,3,29,0
293262,OFF,1,Garage Door Contractor,1/11/2016,8/11/2016,1/12/2016,5/1/2016,Off,110,7/14/2016,28,11,125.16
293264,OFF,1,General Contractor,1/11/2016,8/18/2016,1/12/2016,8/18/2016,Off,219,4/14/2016,126,4,0
293269,LIVE,0,HVAC Contractor,2/10/2016,,2/11/2016,8/24/2016,Off,195,,,130,898.15
293270,OFF,1,Lawyer,1/11/2016,6/5/2016,1/12/2016,6/5/2016,Off,145,5/6/2016,30,24,314.77
293273,OFF,1,Lawyer,1/11/2016,7/11/2016,1/12/2016,4/12/2016,Off,91,6/10/2016,31,113,262.89
293285,OFF,1,Lawyer,1/11/2016,4/14/2016,1/12/2016,3/9/2016,Off,57,2/8/2016,66,17,22.51
293306,OFF,1,Insurance,1/11/2016,5/25/2016,1/12/2016,5/25/2016,Off,134,4/21/2016,34,27,274.77
293325,LIVE,0,Lawyer,1/11/2016,,1/15/2016,,Live,225,,,55,"1,489.13"
293347,OFF,1,Lawyer,1/12/2016,4/21/2016,1/13/2016,4/21/2016,Off,99,3/24/2016,28,7,304.25
293350,OFF,1,Insurance,1/12/2016,5/11/2016,1/12/2016,5/11/2016,Off,120,5/10/2016,1,4,59.13
293351,OFF,1,Lawyer,1/11/2016,6/23/2016,3/15/2016,6/23/2016,Off,100,6/21/2016,2,16,251.25
293356,OFF,1,Insurance,1/11/2016,7/1/2016,1/12/2016,7/1/2016,Off,171,6/14/2016,17,11,145.97
293362,OFF,1,Lawyer,1/11/2016,4/24/2016,1/12/2016,4/24/2016,Off,103,2/15/2016,69,5,0
293387,OFF,1,Real Estate Agent,1/11/2016,7/25/2016,4/1/2016,7/25/2016,Off,115,6/11/2016,44,4,142.87
293397,OFF,1,Electrician,1/11/2016,7/10/2016,5/9/2016,6/10/2016,Off,32,6/10/2016,30,8,343.53
293403,LIVE,0,Insurance,1/12/2016,,1/13/2016,5/28/2016,Off,136,,,9,0
293420,LIVE,0,Home Remodeling,1/12/2016,,1/13/2016,4/18/2016,Off,96,,,1,0
293421,LIVE,0,Roofer,1/12/2016,,2/29/2016,,Live,180,,,1,206.19
293434,LIVE,0,Insurance,1/12/2016,,1/13/2016,8/5/2016,Off,205,,,7,0
293463,LIVE,0,Lawyer,5/20/2016,5/18/2016,1/13/2016,5/18/2016,Live,227,5/10/2016,109,19,329.07
293494,OFF,1,Lawyer,1/12/2016,5/22/2016,1/13/2016,5/22/2016,Off,130,4/22/2016,30,6,29.71
293503,LIVE,0,Lawyer,1/13/2016,,1/13/2016,,Live,227,,,8,339.45
293510,OFF,1,Roofer,1/12/2016,8/4/2016,4/11/2016,8/4/2016,Off,115,4/11/2016,115,4,56.73
293513,OFF,1,Lawyer,1/12/2016,8/21/2016,1/13/2016,8/21/2016,Off,221,7/22/2016,30,20,505.08
293523,OFF,1,Landscape Design,1/12/2016,7/13/2016,1/13/2016,4/29/2016,Off,107,4/28/2016,76,13,180.53
293532,OFF,1,Lawyer,1/12/2016,5/19/2016,1/13/2016,5/19/2016,Off,127,4/28/2016,21,56,787.52
293537,LIVE,0,Auto Glass Repair Shop,1/12/2016,,7/5/2016,,Live,53,,,34,175.94
293576,LIVE,0,Lawyer,1/13/2016,,1/14/2016,,Live,226,,,38,909.6
293592,LIVE,0,Lawyer,1/13/2016,,1/14/2016,,Live,226,,,18,234.9
293598,LIVE,0,Lawyer,1/13/2016,,1/14/2016,,Live,226,,,37,"1,257.19"
293609,LIVE,0,Home System Installer,1/13/2016,,2/18/2016,,Live,191,,,77,319.35
293614,OFF,1,Lawyer,1/13/2016,5/7/2016,1/14/2016,5/7/2016,Off,114,4/28/2016,9,29,118.38
293624,LIVE,0,Architect,1/13/2016,,1/14/2016,5/23/2016,Off,130,,,2,0
293629,OFF,1,Lawyer,1/13/2016,5/17/2016,1/14/2016,5/17/2016,Off,124,4/22/2016,25,22,213.03
293637,LIVE,0,Lawyer,1/13/2016,,1/14/2016,,Live,226,,,19,895.75
293650,LIVE,0,Arborist,5/20/2016,4/13/2016,5/20/2016,,Live,99,2/19/2016,190,24,132.92
293652,OFF,1,Architect,1/13/2016,8/26/2016,1/14/2016,8/26/2016,Off,225,8/23/2016,3,19,879.01
293654,LIVE,0,General Contractor,1/13/2016,,1/14/2016,,Live,226,,,51,220.97
293660,OFF,1,Insurance,1/13/2016,4/6/2016,1/14/2016,4/6/2016,Off,83,3/7/2016,30,31,101.36
293676,OFF,1,Cleaning Service,1/13/2016,6/13/2016,2/1/2016,4/14/2016,Off,73,6/10/2016,3,21,210.94
293677,OFF,1,Insurance,1/13/2016,5/1/2016,1/14/2016,5/1/2016,Off,108,4/26/2016,5,9,376.51
293685,OFF,1,Pest Exterminator,1/13/2016,7/16/2016,5/13/2016,7/16/2016,Off,64,5/19/2016,58,33,240.86
293712,OFF,1,Insulation Contractor,1/13/2016,7/13/2016,1/21/2016,2/26/2016,Off,36,2/11/2016,153,9,118.52
