client_id,churned,days_live,logins_30days,leads_30days,spend_30days,invoices_30days
114755,1,184,0,11,0,0
114970,1,397,0,13,0,0
116757,0,685,0,40,0,19
117555,1,90,0,5,0,0
117594,1,199,0,129,158.56,0
118972,1,240,0,12,0,99
119116,1,136,0,14,0,0
119391,0,458,0,132,2561.51,0
120458,1,119,0,6,0,25
121834,1,699,0,4,0,99
122491,1,212,0,2,0,-294
122556,1,153,1,27,0,99
122861,0,30,22,21,283.38,2516
123084,0,660,0,17,305.17,549
123535,1,243,1,1,0,0
123680,1,42,0,1,0,5
123686,1,273,0,0,0,5
123722,1,298,0,4,0,5
123773,1,42,0,0,0,5
123787,1,233,0,1,0,17.5
123903,1,42,0,0,0,5
123939,1,546,0,18,290.35,399
124098,1,252,0,13,152.5,0
124127,1,164,0,35,0,0
124568,1,61,0,16,0,0
124696,1,182,0,12,0,0
125401,1,47,0,16,0,0
125716,1,335,0,12,0,0
126295,1,59,0,3,0,0
126768,1,669,2,4,0,99
126801,1,181,0,3,0,0
126840,1,851,0,3,0,19
127037,1,214,0,13,0,0
127145,1,396,0,55,0,0
127198,1,243,0,7,0,0
127325,1,181,0,28,0,0
127405,1,730,0,0,0,0
127451,1,457,0,4,0,0
127645,1,395,0,2,0,99
127896,1,181,0,19,0,0
127912,1,212,1,10,0,0
128092,1,365,0,1,0,0
128297,1,454,0,2,0,0
128747,1,153,0,93,0,199
129277,0,966,0,18,0,175
129530,1,318,0,16,23.96,0
129608,1,485,0,0,0,19
129733,1,120,0,0,0,19
129780,1,61,0,16,0,199
129976,1,933,0,84,94.8,0
130114,1,107,1,5,173.85,0
130124,1,82,3,6,82.41,0
130560,1,17,1,150,0,0
130754,1,22,0,0,0,5
130911,1,427,2,107,0,199
131302,1,580,21,12,0,0
131361,1,365,0,6,0,0
131487,0,350,0,88,379.24,1049
131590,1,152,0,0,0,19
131799,1,121,1,10,59.79,0
131847,1,92,0,7,0,0
131895,1,59,0,37,0,0
132412,1,61,0,8,0,0
132776,1,62,0,4,0,0
132811,1,212,0,10,0,99
133112,1,148,4,28,150.79,0
133433,1,153,0,14,0,0
133948,1,273,1,9,0,99
134420,1,181,0,9,0,0
135239,1,153,0,1,0,19
136326,1,943,0,0,0,0
136456,1,243,0,0,0,0
136662,1,128,6,20,579.11,348
137095,0,20,6,3,85.31,3499
137558,1,181,0,3,0,0
137623,1,275,0,11,0,0
138095,1,302,0,0,0,0
138929,1,427,1,0,0,0
139908,0,91,0,27,926.68,1249
139962,1,730,0,2,0,0
140158,1,61,2,11,0,0
140822,0,135,0,26,809.9,1249
140836,1,454,1,19,0,0
140859,1,80,11,1,18.7,0
140873,1,61,0,9,39.85,149
141185,1,120,0,8,0,0
141586,1,120,0,40,0,0
141692,1,59,0,12,0,0
141722,1,366,0,2,0,0
141754,1,973,0,0,0,0
141885,1,64,1,7,0,-299
142424,1,589,0,514,336.49,149
142524,1,158,0,2,0,5
142542,1,62,0,5,0,-99
142588,1,293,0,9,0,5
142651,1,136,0,8,0,0
142925,1,92,0,22,0,0
143354,1,396,1,40,0,99
143651,1,273,0,6,0,99
143917,1,120,0,0,0,0
143984,1,334,1,8,0,0
144550,1,335,0,4,0,19
144557,1,730,0,4,0,0
144666,1,423,0,9,0,0
145006,1,59,0,1,0,0
145078,1,122,0,29,0,0
145116,1,151,15,9,0,124
145474,0,48,13,39,735.38,1374
145658,1,62,0,3,0,0
145798,1,241,0,7,24.05,0
146149,1,61,0,9,0,0
146689,1,242,0,9,0,49
146780,1,882,0,4,0,0
146862,1,91,0,4,0,299
146996,1,23,0,13,0,188
147233,1,818,0,1,0,99
147386,1,128,0,13,0,0
147420,1,274,0,17,0,0
147473,1,234,3,9,0,0
147557,1,243,0,11,0,0
147877,1,396,0,3,0,0
147881,1,518,0,28,0,-99
148203,1,304,0,5,0,99
148313,1,335,0,12,0,0
148510,1,32,1,2,0,0
148873,1,92,0,2,0,0
148905,0,104,1,294,1297.11,1549
149117,1,73,0,22,0,0
149327,1,58,0,1,0,0
149889,1,304,0,75,0,199
150073,1,730,0,19,0,0
150718,1,182,0,0,0,0
151012,1,548,0,2,0,0
151131,1,0,0,0,0,0
151192,1,457,0,67,0,0
151360,1,92,0,15,0,0
151538,1,92,0,0,0,0
151829,0,1038,0,13,0,149
152493,1,122,0,2,0,0
152545,1,1,0,16,0,99
152547,1,447,0,119,233.38,5
152632,0,835,0,55,0,299
152725,0,603,0,0,0,19
152961,1,121,1,5,215.69,0
153128,1,372,0,23,14.62,0
153545,1,792,1,3,0,19
153597,1,153,0,25,0,0
153855,0,1094,0,34,441.32,549
154046,1,13,1,11,0,0
154075,1,204,0,8,50.8,0
154375,1,851,0,0,0,19
154576,1,120,1,13,126.41,99
154675,1,902,0,19,106.31,0
154755,1,244,0,1,0,20
155013,1,365,4,2,0,19
155077,1,152,0,32,0,0
155278,1,62,20,16,0,0
155329,1,31,0,8,0,0
155344,1,273,0,2,0,0
155558,1,30,0,0,0,49
155601,1,180,0,6,93.2,0
155673,1,102,0,16,441.1,0
155877,1,304,1,3,0,0
155910,1,83,0,7,0,0
155927,1,61,0,1,0,0
156444,1,32,1,2,0,19
156573,1,74,0,7,0,0
156606,1,183,0,6,0,0
156657,1,21,0,2,0,249
156658,1,915,0,0,0,19
156686,1,243,0,1,0,99
156811,1,884,0,110,0,0
156904,1,334,0,2,0,99
157259,1,28,0,3,0,49
157426,1,365,0,2,0,0
157712,1,438,0,7,0,0
157746,1,274,0,0,0,0
157790,1,30,2,8,0,0
158506,1,391,0,2,0,-250
158738,1,88,0,5,0,0
158745,1,182,0,12,0,0
158773,1,518,1,1,0,0
158876,0,27,4,19,1078.15,5999.09
158917,1,148,0,13,16.27,0
158981,1,821,0,2,14.88,0
159110,1,136,0,23,0,448
159150,1,89,0,0,0,-229.4
159220,1,122,0,1,211.42,19
159275,1,100,0,34,968.69,1000
159350,1,212,0,52,0,199
159465,1,70,4,10,49.2,199
159633,1,75,0,2,0,0
159684,1,304,0,4,0,0
159816,1,105,0,3,0,0
159991,1,89,0,7,0,49
160084,1,106,0,8,159.92,1299
160448,1,30,0,1,8.69,19
160996,1,184,0,0,0,0
161010,1,104,0,2,0,49
161061,1,184,0,9,0,0
161208,1,178,1,15,0,299
161210,1,304,0,3,0,0
161222,1,121,0,7,0,0
161235,1,153,0,30,0,99
161407,1,75,18,13,0,0
161441,1,424,0,19,0,0
161653,1,457,0,1,0,0
161674,1,61,0,0,0,0
161763,1,334,0,22,0,19
161795,1,212,0,9,0,99
161900,1,61,2,41,681,0
162365,1,912,2,9,0,99
162484,1,39,103970,83,0,0
162619,1,108,0,7,548.24,0
162714,1,122,0,16,37.2,218
162843,1,30,0,27,469.14,0
163149,1,214,0,1,0,19
163177,1,273,0,8,0,99
163183,1,245,0,4,0,0
163388,1,303,0,0,0,0
163491,1,153,0,6,0,99
163549,0,1088,1,15,0,99
163650,1,8,6,2,101.73,649
163653,1,615,0,10,0,0
163710,0,582,1,43,169.22,500
163768,1,74,0,8,0,0
163844,1,154,0,14,430.78,-299
163874,1,86,0,11,1.39,0
164433,1,84,1,13,0,0
165131,0,709,0,8,279.41,599
165587,1,62,0,11,13.8,0
165804,1,148,0,39,0,0
166043,1,81,0,0,0,0
166050,0,1081,0,23,0,199
166126,1,137,3,6,0,149
166209,1,334,1,1,0,19
166214,1,121,0,4,0,0
166431,1,861,0,6,0,299
166513,1,30,0,26,420.45,474
166768,1,65,5,6,0,0
166782,1,579,0,1,0,19
166915,1,243,0,44,0,99
167318,1,135,0,20,3.37,0
167339,1,117,3,15,144.1,0
167377,1,169,5,12,0,0
167402,1,31,0,2,0,0
167404,1,67,6,28,505.89,0
167416,1,243,2,11,0,0
167434,1,67,0,1,212.75,0
167660,1,92,5,60,1484.13,0
167723,1,89,2,2,95.22,0
167735,1,303,0,8,0,0
167736,1,761,0,11,0,0
167758,1,61,0,13,55.07,50
168463,1,167,0,0,0,49
168478,1,150,1,4,13.17,0
168636,1,607,1,53,0,99
168771,1,121,0,20,155.04,449
168790,1,167,0,3,0,0
168842,1,853,0,16,0,0
168876,1,106,7,7,53.12,0
168910,1,815,0,18,1410.94,1999
168959,1,72,6,9,122.92,0
169005,1,133,0,6,42.5,0
169069,1,72,0,2,0,0
169086,1,118,2,10,52.48,0
169088,1,209,0,2,0,0
169094,1,92,0,4,0,299
169095,1,135,0,4,278.63,249
169097,1,222,3,36,1163.1,0
169109,1,145,0,16,192.9,0
169132,1,123,3,1,0,-2055.18
169136,1,60,0,3,30.22,0
169137,0,1091,0,13,0,19
169138,1,263,0,39,674.32,0
169146,1,325,0,48,286.99,0
169147,1,167,0,1,0,118
169150,1,129,0,25,506.68,0
169155,1,118,1,6,44.41,0
169164,1,50,1,22,575.78,649
169170,1,106,0,12,0,250
169172,1,213,0,4,0,0
169181,1,286,0,19,903.06,1249
169189,1,143,5,49,60.33,0
169205,1,114,0,2,25.15,0
169213,1,31,2,17,144.15,0
169220,1,108,0,15,317.29,0
169222,1,97,1,31,841.51,0
169225,1,181,1,1,0,99
169232,1,1066,2,53,463.35,0
169239,1,152,1,0,0,0
169251,1,135,0,14,0,0
169253,1,2,0,2,0,700
169256,0,1095,0,47,0,199
169260,1,426,4,6,0,0
169268,1,138,0,21,367.65,0
169281,1,242,0,9,0,99
169289,1,191,0,22,653.64,0
169290,1,304,0,0,0,0
169291,1,208,0,29,143.87,0
169292,1,213,0,9,0,0
169294,0,1095,0,0,0,19
169304,1,208,0,9,48.41,0
169306,0,1094,0,88,0,129
169308,1,118,1,4,129.82,0
169310,1,105,0,6,0,0
169317,1,59,1,16,374.53,699
169321,1,166,2,14,240.97,549
169322,1,48,1,37,1253.52,0
169327,1,31,0,2,0,0
169330,1,308,0,34,565.94,0
169332,1,730,0,9,0,0
169333,1,303,0,5,0,19
169335,1,74,0,9,32.5,0
169341,1,2,0,2,2.44,450
169342,1,150,3,10,15.38,0
169343,0,1094,0,9,0,199
169349,1,262,0,50,0,0
169356,1,134,3,26,158.71,449
169361,1,487,0,1,0,0
169364,1,0,0,0,0,0
169371,1,113,0,18,179.78,0
169372,0,1092,0,14,209.97,329
169375,1,150,2,27,37.68,0
169382,1,213,0,8,0,0
169383,1,121,5,6,535.14,5.68E-14
169388,1,193,0,2,0,-699
169391,1,58,0,2,35.51,0
169392,0,1094,0,6,0,24
169394,0,1094,0,45,0,99
169398,0,1094,0,31,0,129
169400,1,106,0,18,328.77,0
169401,1,273,0,2,0,0
169403,1,213,0,25,374.56,0
169407,1,117,2,6,0,0
169408,1,518,0,8,0,0
169411,1,145,0,7,0,0
169413,1,96,4,24,585.19,0
169415,1,135,1,47,431.65,0
169417,1,92,0,20,158.12,0
169421,1,791,1,88,0,0
169425,1,176,0,18,252.1,0
169426,1,92,0,23,1027.14,0
169428,1,206,1,7,115.38,0
169430,1,135,1,11,615.69,0
169440,1,607,0,6,0,149
169467,1,122,0,3,0,0
169473,1,153,0,36,0,0
169474,1,424,0,9,0,19
169493,0,1094,1,12,0,99
169495,1,578,0,60,0,0
169498,1,117,1,37,0,0
169499,1,117,1,10,23.49,0
169515,1,214,0,8,0,0
169516,1,117,11,10,297.7,99
169527,0,1094,0,27,0,99
169531,1,106,0,11,367.02,0
169534,1,113,0,30,351.6,649
169536,1,74,0,9,0,0
169538,1,122,0,4,0,0
169543,1,205,3,71,23.56,0
169544,1,92,0,17,443.08,0
169552,1,74,0,6,0,0
169553,1,138,0,7,101.9,0
169556,1,134,1,10,71.23,0
169562,1,64,0,26,306.93,0
169563,1,240,0,0,0,0
169566,1,153,0,0,0,0
169570,1,0,0,0,0,0
169574,1,63,2,8,85.43,0
169580,1,161,0,11,453.48,0
169585,1,122,0,17,0,0
169587,1,243,0,9,0,100
169598,1,772,0,66,471.36,999
169599,1,153,0,6,0,0
169606,0,1093,0,7,0,19
169616,1,115,2,8,140.25,0
169620,1,74,0,8,0,0
169630,0,1093,0,76,202.05,379
169632,1,243,0,15,0,0
169634,1,568,0,31,4.26,0
169636,1,92,0,19,231.67,499
169637,1,175,2,19,261.09,0
169642,1,395,0,0,0,4.69
169658,1,107,4,10,172.8,0
169659,1,91,1,1,0,0
169664,1,107,6,10,201.22,0
169666,1,260,0,3,138.67,0
169680,1,241,0,0,0,0
169681,1,147,0,47,92.35,0
169682,1,126,0,17,798.17,0
169689,1,365,2,2,0,0
169690,1,154,0,0,0,0
169711,1,156,1,27,68.03,0
169712,0,1093,0,4,0,25
169713,1,94,0,2,0,0
169714,0,1093,0,35,177.49,499
169730,1,105,0,4,0,0
169731,1,188,0,15,616.61,0
169737,0,1093,0,0,0,19
169745,1,169,0,1,0,0
169752,1,105,0,13,0,0
169775,1,105,0,9,678.74,0
169781,0,1081,0,9,0,19
169793,0,1093,0,0,0,19
169813,1,114,0,8,213.59,0
169819,1,182,0,18,0,-425
169821,0,1093,0,27,0,19
169822,1,119,2,8,32.54,0
169828,1,157,0,7,0,0
169829,1,399,0,25,731.89,0
169841,1,74,0,2,0,0
169847,0,370,4,64,506.45,749
169855,1,111,1,2,0,99
169859,0,1092,0,6,0,19
169862,1,212,0,20,0,0
169868,1,92,3,25,701.3,800
169873,1,135,0,8,0,0
169874,1,206,2,12,78.18,0
169883,0,1092,0,53,312.93,599
169887,1,106,11,6,727.93,0
169894,1,122,0,2,0,0
169895,0,1092,0,1,0,19
169896,0,1092,0,77,162.45,449
169920,0,1092,0,505,0,299
169923,1,119,0,1,29.22,0
169926,1,107,0,6,374.5,0
169930,1,104,3,7,43.18,0
169935,1,119,0,2,123.53,0
169936,0,1088,0,16,0,19
169942,1,170,0,6,13.55,-1798
169944,1,63,0,4,9.73,-788.65
169952,1,50,1,5,163.48,-1398
169956,1,114,2,6,11.2,0
169957,1,98,11,1,499.76,0
169958,1,274,0,10,0,0
169964,1,118,0,2,0,0
169965,1,122,0,3,0,0
169973,1,59,0,2,29.03,0
169976,1,366,0,29,635.09,0
169977,1,107,0,5,4.94,0
169980,1,242,0,2,0,0
169989,0,1092,0,3,0,19
170001,1,115,0,1,0,0
170002,0,1092,1,54,165.88,466.74
170007,0,1092,0,35,342.64,449
170008,1,106,5,17,413.6,0
170013,1,212,0,2,0,0
170028,1,80,0,7,111.2,0
170029,1,621,0,4,0,299
170031,1,92,6,6,567.21,0
170038,1,478,1,44,88.93,0
170043,1,143,1,10,116.3,0
170051,1,154,0,6,0,0
170055,0,1092,0,6,0,19
170061,1,213,0,6,0,0
170067,1,57,2,3,0,0
170068,1,122,0,4,0,-76
170073,1,91,0,0,376.13,599
170080,1,170,0,13,317.18,0
170084,1,34,9,5,138.71,49
170085,1,121,1,28,880.77,1149
170087,1,197,0,25,441.21,0
170090,1,118,0,5,0,0
170095,1,73,2,15,389.26,0
170099,0,1092,2,181,0,19
170104,1,138,4,37,38.96,-799
170165,1,212,3,0,0,0
170168,1,105,0,12,0,0
170193,1,154,0,9,0,0
170202,1,159,0,17,78.15,0
170219,1,173,0,14,67.85,0
170222,1,118,1,9,117.45,100
170229,1,287,2,26,272.2,0
170238,1,118,6,34,684.68,0
170259,1,334,0,2,0,0
170265,1,59,0,13,747.54,0
170266,1,110,0,26,710.87,0
170284,1,155,0,44,698.85,0
170285,1,182,1,5,4.8,0
170291,1,182,0,10,0,0
170309,1,47,0,12,1270.22,0
170341,1,152,0,3,10.84,0
170395,1,92,8,5,159.21,0
170403,1,153,5,10,156.97,0
170405,1,181,0,3,0,249
170416,1,110,1,4,0,0
170434,0,1091,0,89,983.61,1249
170441,1,155,2,7,62.03,0
170462,1,57,0,9,34.25,-249
170488,1,303,0,27,0,0
170505,1,456,0,1,0,0
170509,1,103,11,9,134.38,0
170512,1,273,0,0,0,-57
170620,1,105,1,7,0,0
170672,1,127,0,47,1037.2,0
170872,1,155,1,14,2.61,-500
171182,0,1088,0,1,0,19
171184,1,74,0,26,74.51,0
171188,1,457,0,0,0,0
171195,1,347,0,16,528.52,0
171197,0,1088,0,0,0,19
171205,1,60,0,21,1.96,0
171207,0,1088,0,16,0,19
171209,0,1088,8,157,140.34,279
171214,1,90,0,4,0,0
171224,0,1088,0,11,0,49
171228,0,1088,0,6,257.58,699
171236,1,124,0,13,0,0
171246,1,111,0,6,27.79,0
171254,1,395,0,8,0,149
171255,1,157,0,102,679.39,0
171256,1,206,1,23,13.08,-7.3
171262,1,153,1,35,702.72,0
171263,0,1087,0,5,0,19
171265,1,146,4,17,287.22,0
171271,1,74,0,7,116.86,0
171281,1,128,2,9,160.78,449
171283,1,699,0,6,0,0
171301,1,151,0,1,0,0
171313,0,1088,0,92,183.53,349
171316,1,93,1,8,491.29,0
171320,1,40,0,7,11.59,0
171332,1,184,0,23,177.29,-999
171337,1,38,2,24,647.74,49
171356,1,181,2,1,0,149
171357,1,607,0,5,0,19
171399,1,184,0,2,0,0
171406,1,360,0,5,0,0
171407,1,125,8,49,1.25,-1249
171421,1,370,0,66,0,0
171428,1,100,0,9,496.81,0
171429,0,1088,0,0,0,19
171430,0,1087,0,4,0,99
171437,1,432,0,100,171.39,0
171442,1,110,0,18,340.49,0
171454,1,44,0,2,0,-62.25
171480,0,1088,1,49,0,199
171488,1,118,1,6,228.96,0
171510,1,212,0,31,0,0
171517,0,1087,1,2,0,99
171520,1,153,1,9,0,0
171525,0,1087,0,210,6269.96,6699
171531,1,253,5,1,0,19
171538,1,149,0,29,65.52,99
171540,1,210,0,2,0,0
171558,0,1087,0,13,0,119
171559,0,1087,0,117,848.68,914
171583,1,144,0,18,0,0
171588,1,114,0,19,240.05,0
171599,1,127,1,31,795.41,0
171601,1,304,0,4,0,0
171603,1,120,3,27,271.59,0
171607,0,1087,0,5,0,19
171609,1,116,1,2,25.69,0
171638,1,123,0,1,0,0
171644,1,74,0,1,0,0
171659,1,31,2,13,298.62,100
171660,0,1087,0,14,0,99
171668,1,77,0,6,668.34,1149
171672,1,136,0,2,0,0
171684,1,85,0,4,65.67,0
171687,1,130,0,27,468.26,0
171694,0,1087,0,35,441.09,648
171706,1,182,0,4,0,88
171708,0,1086,0,4,0,149
171715,1,274,0,8,0,0
171731,1,225,0,11,0.74,0
171734,1,759,0,6,23.5,46
171738,1,1,0,0,0,999
171741,1,116,2,4,206.82,0
171743,1,466,0,11,235.17,0
171754,1,365,0,1,0,0
171756,1,107,0,58,611.72,949
171768,1,140,0,62,897.31,0
171769,1,124,0,7,0,0
171779,1,150,0,6,68.92,0
171781,1,163,0,51,573.47,0
171784,1,81,1,4,80.05,-601
171785,1,392,0,7,0,199
171787,1,220,1,73,449.75,0
171791,1,50,1,7,310.91,0
171796,1,103,0,4,621.73,799
171799,1,154,0,31,501.1,0
171802,1,303,0,1,0,19
171805,1,154,0,7,106.85,0
171807,1,166,0,13,0,0
171808,1,259,0,8,327.16,0
171818,1,944,0,0,0,0
171820,1,396,0,5,131.31,0
171822,0,1086,0,91,343.83,449
171824,1,638,0,0,0,0
171826,1,286,0,7,0,241.67
171829,1,115,0,34,158.52,0
171831,1,163,0,8,186.75,0
171836,1,98,0,16,589.67,0
171841,0,1086,12,193,220.65,549
171845,1,93,1,10,603.64,0
171846,1,304,0,3,0,0
171848,0,1085,0,66,1021.88,1049
171862,1,143,1,10,18.67,-699
171866,1,114,0,12,211.15,0
171872,1,819,0,22,50.78,0
171877,1,335,0,4,0,0
171881,1,93,2,30,651.05,0
171884,0,1085,2,12,262.86,500
171885,1,123,0,24,732.44,0
171894,0,1086,0,46,633.96,999
171908,1,157,2,35,177.04,0
171909,1,162,0,29,0,0
171926,1,149,21,71,836.84,0
171932,0,1086,0,19,0,99
171936,0,1086,0,6,0,99
171949,0,1086,0,2,0,19
171958,1,195,0,0,0,0
171959,1,273,2,7,0,0
171961,1,149,0,3,0,0
171971,1,303,0,5,0,0
171980,0,1086,0,67,12.26,19
171989,1,203,0,13,181.02,0
172014,1,841,0,0,0,-361
172016,1,91,0,2,0,0
172021,0,1085,0,35,0,19
172024,1,153,0,1,0,-99
172074,0,1085,0,72,0,299
172113,1,334,0,1,0,0
172118,1,150,2,6,112.59,0
172121,0,1085,2,105,105.43,449
172124,1,104,0,6,734.27,0
172142,1,196,0,50,683.67,0
172144,1,108,0,7,299.27,0
172170,1,49,1,27,991.19,1249
172171,1,140,4,32,233.99,0
172176,0,1085,0,107,199.67,499
172216,1,164,0,8,0,99
172217,1,97,3,12,344.78,0
172218,1,212,7,26,1197.33,0
172219,1,107,3,20,131.07,0
172232,1,74,0,3,5.33,0
172238,0,113,0,39,220.12,599
172263,1,213,0,35,0,0
172271,1,566,0,5,0,0
172275,0,1085,0,41,0,99
172293,0,1085,0,31,660.24,949
172310,1,58,2,6,33.94,0
172314,0,1084,0,22,261.62,349
172334,1,58,0,11,19.24,0
172350,1,135,0,11,194.33,500
172351,1,124,2,2,23.75,-400
172355,1,69,1,1,0,0
172358,1,105,1,26,435.42,0
172365,1,181,0,1,0,19
172373,1,488,0,0,0,0
172380,1,196,0,3,124.93,0
172387,1,105,0,5,0,0
172390,1,562,0,12,199.41,0
172394,1,272,0,4,99.41,0
172398,1,147,9,48,1300.9,0
172416,1,61,3,12,704.75,0
172419,1,138,0,65,513.58,0
172427,1,125,4,18,736.25,0
172436,1,195,1,30,318.86,0
172439,1,74,1,4,0,0
172443,1,71,0,6,0,0
172446,1,106,6,9,634.72,0
172447,1,224,0,41,1254.89,0
172448,1,55,0,2,83.62,0
172450,1,303,0,65,936.36,1249
172453,1,74,5,16,0,0
172458,1,121,3,15,259.47,0
172462,0,1081,1,24,823.26,1049
172464,1,743,1,54,476.01,999
172470,1,148,1,19,270.6,0
172477,1,148,0,11,16.13,0
172483,1,123,0,27,0,0
172486,1,212,0,22,0,-1069
172490,1,429,0,5,0,0
172497,1,577,0,31,0,95
172503,1,143,0,6,0,355.451613
172508,1,275,0,21,520.75,0
172513,1,91,0,23,145.96,449
172525,1,54,0,7,248.36,0
172526,1,120,0,7,0,0
172527,1,148,5,10,579.06,0
172528,1,273,0,4,0,0
172535,0,1084,0,24,585.24,698
172536,1,112,2,14,199.45,0
172550,0,1084,2,223,412.82,649
172551,1,106,0,59,596.92,0
172559,1,74,0,0,0,0
172561,1,117,5,2,561.02,0
172581,1,760,0,15,0,99
172590,1,243,0,11,0,0
172593,1,351,0,26,91.46,0
172605,1,60,1,8,209.49,0
172613,1,122,0,16,151.44,0
172614,1,75,0,6,0,0
172621,1,935,0,26,0,0
172623,1,698,0,6,107.95,0
172637,1,93,0,20,263.14,0
172661,1,910,0,14,0,99
172664,1,332,0,2,0,0
172710,1,485,0,11,0,0
172721,1,114,0,12,195.5,0
172724,0,1081,0,195,0,99
172736,1,31,5,23,0,0
172743,1,169,0,21,459.36,0
172752,1,145,0,6,48.17,0
172753,1,164,0,37,0,299
172793,1,100,5,26,831.4,0
172795,1,108,0,25,211.12,0
172799,1,124,8,25,858.14,0
172817,1,411,7,7,188.11,0
172820,1,145,1,4,70.33,0
172834,1,129,2,45,978.22,0
172859,1,104,0,14,142.57,0
172891,0,1081,0,2,0,0
172903,1,72,1,17,455.6,0
172921,0,1080,0,18,310.46,399
172946,1,92,0,1,46.87,0
172952,1,109,0,9,195.23,0
172953,1,182,0,3,0,0
172959,1,122,1,47,0,199
172970,1,457,0,1,0,0
172979,0,1080,0,13,0,99
173001,1,154,1,26,429.5,0
173009,0,1080,0,3,0,49
173019,1,143,0,1,0,0
173020,1,75,0,21,0,0
173024,1,124,0,2,48.66,-1249
173029,1,108,4,3,5.56,0
173034,1,123,1,2,0,99
173035,1,65,0,15,5.14,-1205.01
173038,1,276,0,0,0,19
173042,1,638,0,0,0,19
173045,0,1080,0,23,481.42,519
173047,0,1080,0,10,0,299
173049,1,858,0,111,617.03,0
173051,1,205,1,7,282.12,0
173052,1,124,0,9,4.53,-234
173058,1,136,0,7,106.68,449
173063,1,41,8,8,901.02,825.73
173065,0,1072,0,0,0,19
173068,1,183,0,56,0,0
173070,1,94,0,25,651.36,0
173073,1,249,0,28,121.12,0
173087,1,107,5,8,145.95,0
173095,1,336,0,8,0,0
173102,1,106,10,25,1012.08,0
173108,1,365,0,4,0,-57
173112,1,131,2,12,202.58,-291.1
173119,1,75,0,8,0,0
173123,1,75,0,3,0,0
173134,0,1074,14,427,602.01,799
173150,1,100,1,36,533.55,0
173152,1,488,0,0,0,0
173154,1,84,0,14,338.77,649
173169,0,1079,0,0,0,99
173179,1,4,0,0,51.36,1049
173185,0,1077,0,6,0,19
173201,1,58,1,5,520.23,200
173202,1,457,0,2,0,0
173205,1,58,1,3,356.67,200
173215,1,151,0,2,0,99
173219,1,243,2,20,0,0
173235,1,182,4,6,0,0
173241,0,1079,0,12,408.73,499
173249,1,92,1,5,689.83,0
173255,0,1079,0,7,0,0
173257,1,83,3,6,42.46,0
173259,1,112,1,7,35.66,0
173270,1,177,0,9,5.38,0
173273,0,1079,0,24,473.9,519
173292,1,59,0,2,88.84,0
173297,1,119,1,5,153.59,0
173301,0,1051,0,25,1206.27,1219
173320,1,81,0,2,11.2,0
173324,1,549,0,11,0,0
173329,1,319,1,17,158.61,0
